,code,trade_dt,close
57948,CI005007,2015-03-27,5109.3311
57949,CI005008,2015-03-27,5538.7386
57950,CI005009,2015-03-27,3715.6345
57951,CI005010,2015-03-27,6872.4089
57952,CI005011,2015-03-27,6660.8291
57953,CI005012,2015-03-27,9028.6565
57954,CI005013,2015-03-27,6958.0551
57955,CI005014,2015-03-27,6860.5659
57956,CI005015,2015-03-27,6884.1541
57957,CI005016,2015-03-27,7676.358
57958,CI005017,2015-03-27,4517.8021
57959,CI005018,2015-03-27,9321.1691
57960,CI005019,2015-03-27,7644.9802
57961,CI005020,2015-03-27,5504.0894
57962,CI005021,2015-03-27,5532.593
57963,CI005022,2015-03-27,10876.8725
57964,CI005023,2015-03-27,7091.4413
57965,CI005024,2015-03-27,2548.4113
57966,CI005025,2015-03-27,4774.5784
57967,CI005026,2015-03-27,4633.1639
57968,CI005027,2015-03-27,8062.7254
57969,CI005028,2015-03-27,6616.254
57970,CI005029,2015-03-27,5550.3267
57971,CI005001,2015-03-30,2846.9382
57972,CI005002,2015-03-30,2073.1447
57973,CI005003,2015-03-30,5695.4786
57974,CI005004,2015-03-30,3621.7642
57975,CI005005,2015-03-30,2278.2881
57976,CI005006,2015-03-30,4965.1294
57977,CI005007,2015-03-30,5414.8499
57978,CI005008,2015-03-30,5692.8925
57979,CI005009,2015-03-30,3734.8303
57980,CI005010,2015-03-30,6997.2109
57981,CI005011,2015-03-30,6819.7796
57982,CI005012,2015-03-30,9172.5514
57983,CI005013,2015-03-30,7055.6073
57984,CI005014,2015-03-30,6958.2047
57985,CI005015,2015-03-30,6842.7207
57986,CI005016,2015-03-30,7802.3371
57987,CI005017,2015-03-30,4534.8084
57988,CI005018,2015-03-30,9412.2679
57989,CI005019,2015-03-30,7707.9973
57990,CI005020,2015-03-30,5524.8706
57991,CI005021,2015-03-30,5751.8076
57992,CI005022,2015-03-30,11226.2191
57993,CI005023,2015-03-30,7453.3253
57994,CI005024,2015-03-30,2619.431
57995,CI005025,2015-03-30,4797.1134
57996,CI005026,2015-03-30,4617.5419
57997,CI005027,2015-03-30,7846.7942
57998,CI005028,2015-03-30,6583.0309
57999,CI005029,2015-03-30,5609.2345
58000,CI005001,2015-03-31,2807.6077
58001,CI005002,2015-03-31,2036.8386
58002,CI005003,2015-03-31,5655.6453
58003,CI005004,2015-03-31,3595.6124
58004,CI005005,2015-03-31,2262.4967
58005,CI005006,2015-03-31,4958.9972
58006,CI005007,2015-03-31,5315.6275
58007,CI005008,2015-03-31,5682.6396
58008,CI005009,2015-03-31,3764.3441
58009,CI005010,2015-03-31,6933.4333
58010,CI005011,2015-03-31,6838.0914
58011,CI005012,2015-03-31,9180.461
58012,CI005013,2015-03-31,7010.6709
58013,CI005014,2015-03-31,6889.4381
58014,CI005015,2015-03-31,6994.0509
58015,CI005016,2015-03-31,7880.1062
58016,CI005017,2015-03-31,4543.512
58017,CI005018,2015-03-31,9493.9496
58018,CI005019,2015-03-31,7639.5288
58019,CI005020,2015-03-31,5529.1796
58020,CI005021,2015-03-31,5681.4861
58021,CI005022,2015-03-31,11187.427
58022,CI005023,2015-03-31,7316.2663
58023,CI005024,2015-03-31,2579.0758
58024,CI005025,2015-03-31,4876.834
58025,CI005026,2015-03-31,4649.0037
58026,CI005027,2015-03-31,8021.5131
58027,CI005028,2015-03-31,6669.9887
58028,CI005029,2015-03-31,5625.8341
58029,CI005001,2015-04-01,2855.8956
58030,CI005002,2015-04-01,2075.1261
58031,CI005003,2015-04-01,5771.5441
58032,CI005004,2015-04-01,3671.6068
58033,CI005005,2015-04-01,2295.4739
58034,CI005006,2015-04-01,5089.7647
58035,CI005007,2015-04-01,5406.7761
58036,CI005008,2015-04-01,5824.3519
58037,CI005009,2015-04-01,3857.0572
58038,CI005010,2015-04-01,7080.8809
58039,CI005011,2015-04-01,7192.4684
58040,CI005012,2015-04-01,9304.4807
58041,CI005013,2015-04-01,7242.0223
58042,CI005014,2015-04-01,7017.6931
58043,CI005015,2015-04-01,7205.7745
58044,CI005016,2015-04-01,8129.4568
58045,CI005017,2015-04-01,4665.1017
58046,CI005018,2015-04-01,9773.5163
58047,CI005019,2015-04-01,7719.9895
58048,CI005020,2015-04-01,5667.2337
58049,CI005021,2015-04-01,5725.2813
58050,CI005022,2015-04-01,11497.3426
58051,CI005023,2015-04-01,7341.8524
58052,CI005024,2015-04-01,2624.8785
58053,CI005025,2015-04-01,5022.6479
58054,CI005026,2015-04-01,4836.207
58055,CI005027,2015-04-01,8298.656
58056,CI005028,2015-04-01,6841.4297
58057,CI005029,2015-04-01,5810.0011
58058,CI005001,2015-04-02,2917.5038
58059,CI005002,2015-04-02,2112.4851
58060,CI005003,2015-04-02,5924.0149
58061,CI005004,2015-04-02,3741.8603
58062,CI005005,2015-04-02,2322.0523
58063,CI005006,2015-04-02,5193.33
58064,CI005007,2015-04-02,5403.7153
58065,CI005008,2015-04-02,5962.1606
58066,CI005009,2015-04-02,3990.1262
58067,CI005010,2015-04-02,7222.2079
58068,CI005011,2015-04-02,7422.1928
58069,CI005012,2015-04-02,9310.4424
58070,CI005013,2015-04-02,7373.4665
58071,CI005014,2015-04-02,7224.274
58072,CI005015,2015-04-02,7362.0907
58073,CI005016,2015-04-02,8240.0469
58074,CI005017,2015-04-02,4758.4058
58075,CI005018,2015-04-02,9935.3081
58076,CI005019,2015-04-02,7790.0346
58077,CI005020,2015-04-02,5738.3135
58078,CI005021,2015-04-02,5690.1728
58079,CI005022,2015-04-02,11368.1673
58080,CI005023,2015-04-02,7365.9674
58081,CI005024,2015-04-02,2635.131
58082,CI005025,2015-04-02,5180.636
58083,CI005026,2015-04-02,4926.7079
58084,CI005027,2015-04-02,8522.6766
58085,CI005028,2015-04-02,6950.2537
58086,CI005029,2015-04-02,5825.0166
58087,CI005001,2015-04-03,2929.7909
58088,CI005002,2015-04-03,2127.3459
58089,CI005003,2015-04-03,5971.8942
58090,CI005004,2015-04-03,3813.5461
58091,CI005005,2015-04-03,2388.1382
58092,CI005006,2015-04-03,5297.8502
58093,CI005007,2015-04-03,5420.8985
58094,CI005008,2015-04-03,6114.061
58095,CI005009,2015-04-03,4116.934
58096,CI005010,2015-04-03,7365.3232
58097,CI005011,2015-04-03,7540.6323
58098,CI005012,2015-04-03,9580.3807
58099,CI005013,2015-04-03,7522.3188
58100,CI005014,2015-04-03,7342.1668
58101,CI005015,2015-04-03,7443.0055
58102,CI005016,2015-04-03,8273.806
58103,CI005017,2015-04-03,4874.4324
58104,CI005018,2015-04-03,10089.8905
58105,CI005019,2015-04-03,7866.5574
58106,CI005020,2015-04-03,5862.3741
58107,CI005021,2015-04-03,5729.3525
58108,CI005022,2015-04-03,11696.9786
58109,CI005023,2015-04-03,7456.4669
58110,CI005024,2015-04-03,2675.0789
58111,CI005025,2015-04-03,5291.8374
58112,CI005026,2015-04-03,4942.7669
58113,CI005027,2015-04-03,8660.1303
58114,CI005028,2015-04-03,7036.3913
58115,CI005029,2015-04-03,5946.9713
58116,CI005001,2015-04-07,3013.2999
58117,CI005002,2015-04-07,2187.9781
58118,CI005003,2015-04-07,6194.5328
58119,CI005004,2015-04-07,3892.9627
58120,CI005005,2015-04-07,2430.1435
58121,CI005006,2015-04-07,5404.7493
58122,CI005007,2015-04-07,5518.5953
58123,CI005008,2015-04-07,6239.3604
58124,CI005009,2015-04-07,4224.1991
58125,CI005010,2015-04-07,7617.9793
58126,CI005011,2015-04-07,7656.4199
58127,CI005012,2015-04-07,9624.5728
58128,CI005013,2015-04-07,7632.9737
58129,CI005014,2015-04-07,7489.2921
58130,CI005015,2015-04-07,7520.1851
58131,CI005016,2015-04-07,8374.167
58132,CI005017,2015-04-07,4986.3504
58133,CI005018,2015-04-07,10386.5655
58134,CI005019,2015-04-07,8060.1792
58135,CI005020,2015-04-07,5959.2323
58136,CI005021,2015-04-07,5928.5438
58137,CI005022,2015-04-07,11935.8848
58138,CI005023,2015-04-07,7653.2715
58139,CI005024,2015-04-07,2774.9315
58140,CI005025,2015-04-07,5389.8267
58141,CI005026,2015-04-07,5096.1667
58142,CI005027,2015-04-07,8857.9406
58143,CI005028,2015-04-07,7135.6789
58144,CI005029,2015-04-07,6046.6855
58145,CI005001,2015-04-08,3052.5773
58146,CI005002,2015-04-08,2159.1576
58147,CI005003,2015-04-08,6086.3741
58148,CI005004,2015-04-08,3825.1164
58149,CI005005,2015-04-08,2430.384
58150,CI005006,2015-04-08,5309.491
58151,CI005007,2015-04-08,5641.4363
58152,CI005008,2015-04-08,6174.5908
58153,CI005009,2015-04-08,4204.0871
